Project Name: Classmate_bot,,,
https://github.com/Ashwinshankar98/ClassMateBot,,,
Group No 69,Total,84,
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?*,,,yes
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?*",,,yes
Question 4.7: Do you store your documentation under revision control with your source code?*,,,yes
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?*",Github releases ,,yes
,,,
,,,
Q5 - How you support your software,,,
Question 5.1: Does your software describe how a user can get help with using your software?*,Github ,,
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?*",contributing.md,,yes
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?*,contributing.md,,yes
Question 5.4: Are e-mails to your support e-mail address received by more than one person?*,contributing.md,,yes
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?*,Github Issues,,yes
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?*",Github Issues,,yes
,,,
,,,
Q6 - Your software's maintainability,,,
Question 6.1: Is your software’s architecture and design modular?*,,,yes
Question 6.2: Does your software use an accepted coding standard or convention?*,,,yes
,,,
,,,
Q7 - Open standards and your software,,,
"Question 7.1: Does your software allow data to be imported and exported using open data formats?* e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",,,yes
"Question 7.2: Does your software allow communications using open communications protocols?* e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",,,no
,,,
,,,
Q8 - Your software's portability,,,
"Question 8.1: Is your software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",,,yes
,,,
,,,
Q9 - Your software and accessibility,,,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?*,,,yes
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?*,,,yes
,,,
,,,
Q10 - How you manage your source code,,,
Question 10.1: Is your source code stored in a repository under revision control?*,github,,
Question 10.2: Is each source code release a snapshot of the repository?*,in github,,yes
Question 10.3: Are releases tagged in the repository?*,github releases ,,yes
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)*",,,yes
Question 10.5: Do you back-up your repository?*,,,yes
,,,
,,,
Q11 - Building and installing your software,,,
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?*,contirbuting.md,,yes
"Question 11.2: Can you build, or package, your software using an automated tool?*e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",,,yes
Question 11.3: Do you provide publicly-available instructions for deploying your software?*,github,,yes
Question 11.4: Does your documentation list all third-party dependencies?*,https://github.com/War-Keeper/ClassMateBot/blob/main/requirements.txt,,yes
Question 11.5: Does your documentation list the version number for all third-party dependencies?*,https://github.com/War-Keeper/ClassMateBot/blob/main/requirements.txt,,yes
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?*",https://github.com/War-Keeper/ClassMateBot/blob/main/requirements.txt,,yes
"Question 11.7: Can you download dependencies using a dependency management tool or package manager?*e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",,,yes
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?*,,,yes
,,,
,,,
Q12 - How you test your software,,,
Question 12.1: Do you have an automated test suite for your software?*,,,no
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?*,,,no
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?*",,,no
Question 12.4: Are your test results publicly visible?*,,,no
Question 12.5: Are all manually-run tests documented?*,,,yes
,,,
,,,
Q13 - How you engage with your community,,,
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?* e.g. release announcements, publications, workshops, conference presentations",https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,yes
Question 13.2: Does your website state how many projects and users are associated with your project?*,https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,yes
Question 13.3: Do you provide success stories on your website?*,https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,no
Question 13.4: Do you list your important partners and collaborators on your website?*,https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,no
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?*,https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,yes
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?*,https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,no
Question 13.7: Can users subscribe to notifications to changes to your source code repository?*,https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,yes
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?*",https://github.com/War-Keeper/ClassMateBot/blob/main/CONTRIBUTING.md,,yes
,,,
,,,
Q14 - How you manage contributions,,,
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?*",,,yes
Question 14.2: Do you have a contributions policy?*,,,yes
Question 14.3: Is your contributions' policy publicly available?*,,,yes
Question 14.4: Do contributors keep the copyright/IP of their contributions?*,,,yes
,,,
,,,
Q15 - Your software's copyright and licensing,,,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?*,MIT license,,yes
Question 15.2: Does each of your source code files include a copyright statement?*,MIT license,,yes
Question 15.3: Does your website and documentation clearly state the licence of your software?*,MIT license,,yes
Question 15.4: Is your software released under an open source licence?*,MIT license,,yes
Question 15.5: Is your software released under an OSI-approved open-source licence?*,MIT license,,yes
Question 15.6: Does each of your source code files include a licence header?*,,,yes
Question 15.7: Do you have a recommended citation for your software?*,,,yes
,,,
,,,
Q16 - Your plans for the future,,,
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?*",,,yes
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?*",,,no
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?*",,,no
